# JUEGO DEL ROSCO
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;A;Fase donde se aplican algoritmos para encontrar tendencias;algoritmos
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;B;Fenómeno caracterizado por volúmenes masivos de datos;bigdata
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;C;Entorno en la nube para ejecutar código Python;colab
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;D;Tipo de datos públicos como los de empleo ofrecidos por la administración;demograficos
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;E;Medida de seguridad importante para proteger los datos;encriptacion
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;F;Formación que requiere el talento para gestionar Big Data;continua
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;G;Normativa que regula la protección de datos y privacidad;gdpr
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;H;Rastro de datos que deja una persona al navegar por internet;huella
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;I;Institución española ejemplo de proveedor de Open Data;ine
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;J;Formato de datos flexible y jerárquico;json
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;L;Fase del análisis donde se eliminan errores y duplicados;limpieza
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;M;Librería de Python para crear gráficos y visualizaciones;matplotlib
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;N;Librería que proporciona soporte para grandes matrices y cálculos;numpy
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;O;Concepto que permite acceder a datos públicos de la administración;opendata
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;P;Librería para manipulación y análisis de datos estructurados;pandas
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;R;Primer paso del proceso de análisis desde fuentes fiables;recoleccion
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;contiene;S;Objetivo de romperlos en colaboración para tener una visión unificada;silos
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;T;Herramienta de Google para concienciar sobre la privacidad;takeout
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;U;Visión que se obtiene al romper silos en proyectos de datos;unificada
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;empieza;V;Capacidad de transformar datos en beneficio en las 7 V;valor
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;contiene;X;Formato usado comúnmente para intercambio de información estructurada;xml
Creación Digital y Pensamiento Computacional;Ciencia de datos y simulación;rosco;contiene;Y;Lenguaje líder en ciencia de datos por su simplicidad;python
